Year,Name,,Voted By,Inducted As,Votes,% of Ballots
2015,Craig Biggio,1965-,BBWAA,Player,454.0,82.7%
2015,Randy Johnson,1963-,BBWAA,Player,534.0,97.3%
2015,Pedro Martinez,1971-,BBWAA,Player,500.0,91.1%
2015,John Smoltz,1967-,BBWAA,Player,455.0,82.9%
2014,Bobby Cox,1941-,Veterans,Manager,,
2014,Tom Glavine,1966-,BBWAA,Player,525.0,91.9%
2014,Tony La Russa,1944-,Veterans,Manager,,
2014,Greg Maddux,1966-,BBWAA,Player,555.0,97.2%
2014,Frank Thomas,1968-,BBWAA,Player,478.0,83.7%
2014,Joe Torre,1940-,Veterans,Manager,,
2013,Hank O'Day,1859-1935,Veterans,Umpire,,
2013,Jacob Ruppert,1867-1939,Veterans,Pioneer/Executive,,
2013,Deacon White,1847-1939,Veterans,Player,,
2012,Barry Larkin,1964-,BBWAA,Player,495.0,86.4%
2012,Ron Santo,1940-2010,Veterans,Player,,
2011,Roberto Alomar,1968-,BBWAA,Player,523.0,90.0%
2011,Bert Blyleven,1951-,BBWAA,Player,463.0,79.7%
2011,Pat Gillick,1937-,Veterans,Pioneer/Executive,,
2010,Andre Dawson,1954-,BBWAA,Player,420.0,77.9%
2010,Doug Harvey,1930-,Veterans,Umpire,,
2010,Whitey Herzog,1931-,Veterans,Manager,,
2009,Joe Gordon,1915-1978,Veterans,Player,,
2009,Rickey Henderson,1958-,BBWAA,Player,511.0,94.8%
2009,Jim Rice,1953-,BBWAA,Player,412.0,76.4%
2008,Barney Dreyfuss,1865-1932,Veterans,Pioneer/Executive,,
2008,Rich Gossage,1951-,BBWAA,Player,466.0,85.8%
2008,Bowie Kuhn,1926-2007,Veterans,Pioneer/Executive,,
2008,Walter O'Malley,1903-1979,Veterans,Pioneer/Executive,,
2008,Billy Southworth,1893-1969,Veterans,Manager,,
2008,Dick Williams,1929-2011,Veterans,Manager,,
2007,Tony Gwynn,1960-2014,BBWAA,Player,532.0,97.6%
2007,Cal Ripken,1960-,BBWAA,Player,537.0,98.5%
2006,Ray Brown,1908-1965,Negro League,Player,,
2006,Willard Brown,1915-1996,Negro League,Player,,
2006,Andy Cooper,1898-1941,Negro League,Player,,
2006,Frank Grant,1865-1937,Negro League,Player,,
2006,Pete Hill,1882-1951,Negro League,Player,,
2006,Biz Mackey,1897-1965,Negro League,Player,,
2006,Effa Manley,1897-1981,Negro League,Pioneer/Executive,,
2006,Jose Mendez,1885-1928,Negro League,Player,,
2006,Alex Pompez,1890-1974,Negro League,Pioneer/Executive,,
2006,Cum Posey,1890-1946,Negro League,Pioneer/Executive,,
2006,Louis Santop,1889-1942,Negro League,Player,,
2006,Bruce Sutter,1953-,BBWAA,Player,400.0,76.9%
2006,Mule Suttles,1901-1966,Negro League,Player,,
2006,Ben Taylor,1888-1953,Negro League,Player,,
2006,Cristobal Torriente,1893-1938,Negro League,Player,,
2006,Sol White,1868-1955,Negro League,Pioneer/Executive,,
2006,J.L. Wilkinson,1878-1964,Negro League,Pioneer/Executive,,
2006,Jud Wilson,1896-1963,Negro League,Player,,
2005,Wade Boggs,1958-,BBWAA,Player,474.0,91.9%
2005,Ryne Sandberg,1959-,BBWAA,Player,393.0,76.2%
2004,Dennis Eckersley,1954-,BBWAA,Player,421.0,83.2%
2004,Paul Molitor,1956-,BBWAA,Player,431.0,85.2%
2003,Gary Carter,1954-2012,BBWAA,Player,387.0,78.0%
2003,Eddie Murray,1956-,BBWAA,Player,423.0,85.3%
2002,Ozzie Smith,1954-,BBWAA,Player,433.0,91.7%
2001,Bill Mazeroski,1936-,Veterans,Player,,
2001,Kirby Puckett,1960-2006,BBWAA,Player,423.0,82.1%
2001,Hilton Smith,1907-1983,Veterans,Player,,
2001,Dave Winfield,1951-,BBWAA,Player,435.0,84.5%
2000,Sparky Anderson,1934-2010,Veterans,Manager,,
2000,Carlton Fisk,1947-,BBWAA,Player,397.0,79.6%
