Chief Bender,"['/players/b/bendech01.shtml', '/collection/the-collection-online/search/412488?rpp=30&pg=1&ao=on&ft=Chief+Bender&what=Baseball+cards&pos=3']"
Rick Ferrell,"['/players/f/ferreri01.shtml', '/collection/the-collection-online/search/408184?rpp=30&pg=1&ao=on&ft=Rick+Ferrell&what=Baseball+cards&pos=2']"
Mickey Mantle,"['/players/m/mantlmi01.shtml', '/collection/the-collection-online/search/675571?rpp=30&pg=1&ao=on&ft=Mickey+Mantle&what=Baseball+cards&pos=5']"
Vic Willis,"['/players/w/willivi01.shtml', '/collection/the-collection-online/search/401638?rpp=30&pg=1&ao=on&ft=Vic+Willis&what=Baseball+cards&pos=1']"
Bill Terry,"['/players/t/terrybi01.shtml', '/collection/the-collection-online/search/407628?rpp=30&pg=1&ao=on&ft=Bill+Terry&what=Baseball+cards&pos=3']"
Heinie Manush,"['/players/m/manushe01.shtml', '/collection/the-collection-online/search/407689?rpp=30&pg=1&ao=on&ft=Heinie+Manush&what=Baseball+cards&pos=2']"
Dan Brouthers,"['/players/b/broutda01.shtml', '/collection/the-collection-online/search/404355?rpp=30&pg=1&ao=on&ft=Dan+Brouthers&what=Baseball+cards&pos=4']"
John Ward,"['/players/w/wardjo01.shtml', '/collection/the-collection-online/search/410133?rpp=30&pg=1&ao=on&ft=John+Ward&what=Baseball+cards&pos=10']"
Red Schoendienst,"['/players/s/schoere01.shtml', '/collection/the-collection-online/search/663508?rpp=30&pg=1&ao=on&ft=Red+Schoendienst&what=Baseball+cards&pos=6']"
Bob Lemon,"['/players/l/lemonbo01.shtml', '/collection/the-collection-online/search/663336?rpp=30&pg=1&ao=on&ft=Bob+Lemon&what=Baseball+cards&pos=5']"
Chuck Klein,"['/players/k/kleinch01.shtml', '/collection/the-collection-online/search/407764?rpp=30&pg=1&ao=on&ft=Chuck+Klein&what=Baseball+cards&pos=3']"
Bid McPhee,"['/players/m/mcphebi01.shtml', '/collection/the-collection-online/search/403157?rpp=30&pg=1&ao=on&ft=Bid+McPhee&what=Baseball+cards&pos=6']"
Whitey Ford,"['/players/f/fordwh01.shtml', '/collection/the-collection-online/search/412631?rpp=30&pg=1&ao=on&ft=Whitey+Ford&what=Baseball+cards&pos=5']"
Ray Brown,"['/nonmlbpa/brownra99.shtml', '/collection/the-collection-online/search/678299?rpp=30&pg=1&ao=on&ft=Ray+Brown&what=Baseball+cards&pos=7']"
Deacon White,"['/players/w/whitede01.shtml', []]"
Bob Feller,"['/players/f/fellebo01.shtml', '/collection/the-collection-online/search/670535?rpp=30&pg=1&ao=on&ft=Bob+Feller&what=Baseball+cards&pos=11']"
Satchel Paige,"['/players/p/paigesa01.shtml', '/collection/the-collection-online/search/402572?rpp=30&pg=1&ao=on&ft=Satchel+Paige&what=Baseball+cards&pos=2']"
Tris Speaker,"['/players/s/speaktr01.shtml', '/collection/the-collection-online/search/624882?rpp=30&pg=1&ao=on&ft=Tris+Speaker&what=Baseball+cards&pos=6']"
Ed Delahanty,"['/players/d/delahed01.shtml', '/collection/the-collection-online/search/412469?rpp=30&pg=1&ao=on&ft=Ed+Delahanty&what=Baseball+cards&pos=6']"
Willie Mays,"['/players/m/mayswi01.shtml', '/collection/the-collection-online/search/402573?rpp=30&pg=1&ao=on&ft=Willie+Mays&what=Baseball+cards&pos=4']"
Bill Dickey,"['/players/d/dickebi01.shtml', '/collection/the-collection-online/search/667944?rpp=30&pg=1&ao=on&ft=Bill+Dickey&what=Baseball+cards&pos=2']"
Lou Gehrig,"['/players/g/gehrilo01.shtml', '/collection/the-collection-online/search/677512?rpp=30&pg=1&ao=on&ft=Lou+Gehrig&what=Baseball+cards&pos=7']"
Pee Wee Reese,"['/players/r/reesepe01.shtml', '/collection/the-collection-online/search/669939?rpp=30&pg=1&ao=on&ft=Pee+Wee+Reese&what=Baseball+cards&pos=2']"
Dizzy Dean,"['/players/d/deandi01.shtml', '/collection/the-collection-online/search/408224?rpp=30&pg=1&ao=on&ft=Dizzy+Dean&what=Baseball+cards&pos=2']"
Joe Cronin,"['/players/c/cronijo01.shtml', '/collection/the-collection-online/search/417257?rpp=30&pg=1&ao=on&ft=Joe+Cronin&what=Baseball+cards&pos=4']"
Johnny Evers,"['/players/e/eversjo01.shtml', '/collection/the-collection-online/search/418311?rpp=30&pg=1&ao=on&ft=Johnny+Evers&what=Baseball+cards&pos=1']"
Rabbit Maranville,"['/players/m/maranra01.shtml', '/collection/the-collection-online/search/409643?rpp=30&pg=1&ao=on&ft=Rabbit+Maranville&what=Baseball+cards&pos=2']"
Ned Hanlon,"['/players/h/hanlone01.shtml', '/collection/the-collection-online/search/404127?rpp=30&pg=1&ao=on&ft=Ned+Hanlon&what=Baseball+cards&pos=5']"
Jackie Robinson,"['/players/r/robinja02.shtml', '/collection/the-collection-online/search/641152?rpp=30&pg=1&ao=on&ft=Jackie+Robinson&what=Baseball+cards&pos=5']"
Hank O'Day,"[""/players/o/o'dayha01.shtml"", '/collection/the-collection-online/search/403093?rpp=30&pg=1&ao=on&ft=Hank+O%27Day&what=Baseball+cards&pos=4']"
Ralph Kiner,"['/players/k/kinerra01.shtml', '/collection/the-collection-online/search/641584?rpp=30&pg=1&ao=on&ft=Ralph+Kiner&what=Baseball+cards&pos=6']"
